Namespace;Enumeration name;Enumeration literal;Designation;Definition;Origin;Original code
Common;VehicleStatusEnum;offRoad;Off road;Vehicle has left the carriageway;;
Common;VehicleStatusEnum;onFire;On fire;Vehicle is on fire.;;
Common;VehicleStatusEnum;onTopOfCrashBarrier;On top of crash barrier;Vehicle is on top of the crash barrier, and cannot leave that position autonomously;;
Common;VehicleStatusEnum;onWheels;On wheels;Vehicle is in its upright position after the accident. No special lifting equipment is needed to put it on its wheels;;
Common;VehicleStatusEnum;overturned;Overturned;Vehicle is on its side or upside down;;
Common;VehicleStatusEnum;rollable;Rollable;The vehicle can be rolled on its own wheels. There is no special equipment needed to lift the vehicle, because of blocked wheels or other mechanical problems.;;
Common;VehicleStatusEnum;spunAround;Spun around;Vehicle has come to rest not facing its intended line of travel.;;
EnergyInfrastructure;VehicleToGridCommunicationTypeEnum;iec619802;IEC 619802;Communication according to IEC/TS 61980-2.;;
EnergyInfrastructure;VehicleToGridCommunicationTypeEnum;iso15118;ISO 15118;Communication according to ISO15118.;;
EnergyInfrastructure;VehicleToGridCommunicationTypeEnum;none;None;No communication between vehicle and the grid.;;
EnergyInfrastructure;VehicleToGridCommunicationTypeEnum;other;Other;Communication according to other guidelines/specifications.;;
EnergyInfrastructure;VehicleToGridCommunicationTypeEnum;unknown;Unknown;The type of communication is unknown.;;
Common;VehicleTypeEnum;agriculturalVehicle;Agricultural vehicle;Vehicle normally used for agricultural purposes, e.g. tractor, combined harvester etc.;;
Common;VehicleTypeEnum;anyVehicle;Any vehicle;Vehicle of any type.;;
Common;VehicleTypeEnum;articulatedBus;Articulated bus;Articulated bus;;
Common;VehicleTypeEnum;articulatedTrolleyBus;Articulated trolley bus;Articulated trolley bus;;
Common;VehicleTypeEnum;articulatedVehicle;Articulated vehicle;Articulated vehicle.;;
Common;VehicleTypeEnum;bicycle;Bicycle;Bicycle.;;
Common;VehicleTypeEnum;bus;Bus;Bus.;;
Common;VehicleTypeEnum;car;Car;Vehicles designed and constructed for the carriage of passengers and comprising no more than eight seats in addition to the driver’s seat, and having a maximum mass (“technically permissible maximum laden mass”) not exceeding 3.5 tons (M1).;;
Common;VehicleTypeEnum;caravan;Caravan;Caravan.;;
Common;VehicleTypeEnum;carOrLightVehicle;Car or light vehicle;Car or light vehicle.;;
Common;VehicleTypeEnum;carWithCaravan;Car with caravan;Car towing a caravan.;;
Common;VehicleTypeEnum;carWithTrailer;Car with trailer;Car towing a trailer.;;
Common;VehicleTypeEnum;constructionOrMaintenanceVehicle;Construction or maintenance vehicle;Vehicle normally used for construction or maintenance purposes, e.g. digger, excavator, bulldozer, lorry mounted crane etc.;;
Common;VehicleTypeEnum;fourWheelDrive;Four wheel drive;Four wheel drive vehicle.;;
Common;VehicleTypeEnum;heavyDutyTransporter;Heavy duty transporter;A transporter for heavy duty (usually with abnormal dimensions).;;
Common;VehicleTypeEnum;heavyGoodsVehicle;Heavy goods vehicle;Vehicles with a total weight above 3,500 kg (vehicle and load).;;
Common;VehicleTypeEnum;heavyGoodsVehicleWithTrailer;Heavy goods vehicle with trailer;Heavy goods vehicle with trailer;;
Common;VehicleTypeEnum;heavyVehicle;Heavy vehicle;Vehicle whose weight means it should be classed as a heavy vehicle;;
Common;VehicleTypeEnum;highSidedVehicle;High sided vehicle;High sided vehicle.;;
Common;VehicleTypeEnum;largeCar;Large car;Large car;;
Common;VehicleTypeEnum;largeGoodsVehicle;Large goods vehicle;Vehicles for the carriage of goods and having a maximum mass exceeding 3.5 tonnes (belonging to class N2 when not exceeding 12 tonnes, otherwise class N3).;;
Common;VehicleTypeEnum;lightCommercialVehicle;Light commercial vehicle;Vehicles for the carriage of goods and having a maximum mass not exceeding 3.5 tonnes (class N1).;;
Common;VehicleTypeEnum;lightCommercialVehicleWithTrailer;Light commercial vehicle with trailer;Light goods vehicle with trailer;;
Common;VehicleTypeEnum;longHeavyLorry;Long heavy lorry;A heavy lorry that is longer than normal.;;
Common;VehicleTypeEnum;lorry;Lorry;Lorry of any type.;;
Common;VehicleTypeEnum;metro;Metro;Metro;;
Common;VehicleTypeEnum;minibus;Minibus;Vehicles designed and constructed for the carriage of passengers, comprising more than eight seats in addition to the driver’s seat, and having a maximum mass not exceeding 5 tonnes (class M2).;;
Common;VehicleTypeEnum;moped;Moped;Moped (a two wheeled motor vehicle characterized by a small engine typically less than 50cc and by normally having pedals).;;
Common;VehicleTypeEnum;motorcycle;Motorcycle;Motorcycle.;;
Common;VehicleTypeEnum;motorcycleWithSideCar;Motorcycle with side car;Three wheeled vehicle comprising a motorcycle with an attached side car.;;
Common;VehicleTypeEnum;motorhome;Motorhome;Motorhome;;
Common;VehicleTypeEnum;motorscooter;Motorscooter;Motorscooter (a two wheeled motor vehicle characterized by a step-through frame and small diameter wheels).;;
Common;VehicleTypeEnum;other;Other;Other than as defined in this enumeration.;;
Common;VehicleTypeEnum;passengerCar;Passenger car;Passenger car;;
Common;VehicleTypeEnum;smallCar;Small car;Small car;;
Common;VehicleTypeEnum;tanker;Tanker;Vehicle with large tank for carrying bulk liquids.;;
Common;VehicleTypeEnum;threeWheeledVehicle;Three wheeled vehicle;Three wheeled vehicle of unspecified type.;;
Common;VehicleTypeEnum;trailer;Trailer;Trailer.;;
Common;VehicleTypeEnum;tram;Tram;Tram.;;
Common;VehicleTypeEnum;trolleyBus;Trolley bus;Trolley bus;;
Common;VehicleTypeEnum;twoWheeledVehicle;Two wheeled vehicle;Two wheeled vehicle of unspecified type.;;
Common;VehicleTypeEnum;unknown;Unknown;Unknown.;;
Common;VehicleTypeEnum;van;Van;Van.;;
Common;VehicleTypeEnum;vehicleWithCaravan;Vehicle with caravan;Vehicle (of unspecified type) towing a caravan.;;
Common;VehicleTypeEnum;vehicleWithCatalyticConverter;Vehicle with catalytic converter;Vehicle with catalytic converter.;;
Common;VehicleTypeEnum;vehicleWithoutCatalyticConverter;Vehicle without catalytic converter;Vehicle without catalytic converter.;;
Common;VehicleTypeEnum;vehicleWithTrailer;Vehicle with trailer;Vehicle (of unspecified type) towing a trailer.;;
Common;VehicleTypeEnum;withEvenNumberedRegistrationPlates;With even numbered registration plates;Vehicle with even numbered registration plate.;;
Common;VehicleTypeEnum;withOddNumberedRegistrationPlates;With odd numbered registration plates;Vehicle with odd numbered registration plate.;;
Common;VehicleUsageEnum;agricultural;Agricultural;Vehicle used for agricultural purposes.;;
Common;VehicleUsageEnum;carSharing;Car sharing;Vehicles operated by a car-sharing company.;;
Common;VehicleUsageEnum;cityLogistics;City logistics;Vehicles that are used to deliver goods in a city area.;;
Common;VehicleUsageEnum;commercial;Commercial;Vehicle which is limited to non-private usage or public transport usage.;;
Common;VehicleUsageEnum;emergencyServices;Emergency services;Vehicle used by the emergency services.;;
Common;VehicleUsageEnum;military;Military;Vehicle used by the military.;;
Common;VehicleUsageEnum;nonCommercial;Non commercial;Vehicle used for non-commercial or private purposes.;;
Common;VehicleUsageEnum;patrol;Patrol;Vehicle used as part of a patrol service, e.g. road operator or automobile association patrol vehicle.;;
Common;VehicleUsageEnum;recoveryServices;Recovery services;Vehicle used to provide a recovery service.;;
Common;VehicleUsageEnum;roadMaintenanceOrConstruction;Road maintenance or construction;Vehicle used for road maintenance or construction work purposes.;;
Common;VehicleUsageEnum;roadOperator;Road operator;Vehicle used by the road operator.;;
Common;VehicleUsageEnum;taxi;Taxi;Vehicle used to provide an authorised taxi service.;;
Vms;VmsControllerFaultEnum;communicationsFailure;Communications failure;Communications failure affecting VMS controller;;
Vms;VmsControllerFaultEnum;other;Other;unknown;;
Vms;VmsControllerFaultEnum;powerFailure;Power failure;Power to VMS controller has failed.;;
Vms;VmsControllerFaultEnum;unknown;Unknown;unknown;;
Vms;VmsFaultEnum;incorrectMessageDisplayed;Incorrect message displayed;Incorrect message is being displayed.;;
Vms;VmsFaultEnum;incorrectPictogramDisplayed;Incorrect pictogram displayed;Incorrect pictogram is being displayed.;;
Vms;VmsFaultEnum;other;Other;Other than as defined in this enumeration.;;
Vms;VmsFaultEnum;outOfService;Out of service;Not currently in service (e.g. intentionally disconnected or switched off during roadworks).;;
Vms;VmsFaultEnum;unableToClearDown;Unable to clear down;Unable to clear down information displayed on VMS.;;
Vms;VmsFaultEnum;unknown;Unknown;Unknown VMS fault.;;
Vms;VmsTypeEnum;colourGraphic;Colour graphic;A colour graphic display.;;
Vms;VmsTypeEnum;fullMatrixSign;Full matrix sign;A full-matrix sign.;;
Vms;VmsTypeEnum;monochromeGraphic;Monochrome graphic;A monochrome graphic display.;;
Vms;VmsTypeEnum;other;Other;Other than as defined in this enumeration.;;
Vms;VmsTypeEnum;rollerBlindSign;Roller blind sign;Continuous sign using a roller blind.;;
Vms;VmsTypeEnum;rotatingPrismSign;Rotating prism sign;A sign implementing fixed messages which are made visible to drivers by electromechanical means e.g. a fixed sign parallel to traffic flow and therefore not legible is rotated to be orthogonal to traffic flow and becomes legible.;;
Vms;VmsTypeEnum;simpleMatrixSign;Simple matrix sign;Simple display made up of a fixed matrix of pixels (e.g. sets of LEDs or lights) capable of showing a limited set of aspects (or matrix images). The display area is regarded as a pictogram area in DATEX II. ;;
Vms;VmsTypeEnum;virtualVms;Virtual VMS;Not a physical VMS but a conceptual one used in the electronic distribution of information;;
Common;WeatherRelatedRoadConditionTypeEnum;blackIce;Black ice;Severe skid risk due to black ice (i.e. clear ice, which is impossible or very difficult to see).;;
Common;WeatherRelatedRoadConditionTypeEnum;deepSnow;Deep snow;Deep snow on the roadway.;;
Common;WeatherRelatedRoadConditionTypeEnum;dry;Dry;There is no humidity over the sensor.;;
Common;WeatherRelatedRoadConditionTypeEnum;freezingOfWetRoads;Freezing of wet roads;The wet road surface is subject to freezing.;;
Common;WeatherRelatedRoadConditionTypeEnum;freezingPavements;Freezing pavements;The pavements for pedestrians are subject to freezing.;;
Common;WeatherRelatedRoadConditionTypeEnum;freezingRain;Freezing rain;Severe skid risk due to rain falling on sub-zero temperature road surface and freezing.;;
Common;WeatherRelatedRoadConditionTypeEnum;freshSnow;Fresh snow;Fresh snow (with little or no traffic yet) on the roadway.;;
Common;WeatherRelatedRoadConditionTypeEnum;glaze;Glaze;Glaze of the road surface.;;
Common;WeatherRelatedRoadConditionTypeEnum;ice;Ice;Increased skid risk due to ice (of any kind).;;
Common;WeatherRelatedRoadConditionTypeEnum;iceBuildUp;Ice build up;Ice is building up on the roadway causing a serious skid hazard.;;
Common;WeatherRelatedRoadConditionTypeEnum;iceWithWheelBarTracks;Ice with wheel bar tracks;Ice on the road frozen in the form of wheel tracks.;;
Common;WeatherRelatedRoadConditionTypeEnum;icyPatches;Icy patches;Severe skid risk due to icy patches (i.e. intermittent ice on roadway).;;
Common;WeatherRelatedRoadConditionTypeEnum;looseSnow;Loose snow;Powdery snow on the road which is subject to being blown by the wind.;;
Common;WeatherRelatedRoadConditionTypeEnum;moist;Moist;From (0,01 mm) water film thickness over the sensor;;
Common;WeatherRelatedRoadConditionTypeEnum;normalWinterConditionsForPedestrians;Normal winter conditions for pedestrians;Conditions for pedestrians are consistent with those normally expected in winter.;;
Common;WeatherRelatedRoadConditionTypeEnum;notDry;Not dry;The road surface is not dry.;;
Common;WeatherRelatedRoadConditionTypeEnum;other;Other;Other than as defined in this enumeration.;;
Common;WeatherRelatedRoadConditionTypeEnum;packedSnow;Packed snow;Packed snow (heavily trafficked) on the roadway.;;
Common;WeatherRelatedRoadConditionTypeEnum;rime;Rime;Fresh snow (with little or no traffic yet) on the roadway.;;
Common;WeatherRelatedRoadConditionTypeEnum;roadSurfaceMelting;Road surface melting;The road surface is melting, or has melted due to abnormally high temperatures.;;
Common;WeatherRelatedRoadConditionTypeEnum;slippery;Slippery;Detection at least of the presence of partly or wholly solidified aqueous solution over the sensor.;;
Common;WeatherRelatedRoadConditionTypeEnum;slushOnRoad;Slush on road;Increased skid risk due to melting snow (slush) on road.;;
Common;WeatherRelatedRoadConditionTypeEnum;slushStrings;Slush strings;Melting snow (slush) on the roadway is formed into wheel tracks.;;
Common;WeatherRelatedRoadConditionTypeEnum;snow;Snow;Fresh snow (with little or no traffic yet) on the roadway.;;
